# Romanized Bengali → Bengali spelling map.
#
# How people actually type Bengali in Latin letters, and what they mean by it.
# Chat spelling drops vowels wholesale ("tmr" for তোমার, "amk" for আমাকে), and
# no phonetic rule recovers a vowel that was never typed, so those spellings
# are listed outright. Colloquial and regional inflections ("boltiso" →
# বলতিসো) are here for the same reason.
#
# Derived from the romanized Bengali frequency list in wmkeyboard-data
# (data/bn/bn_rom.txt.gz), limited to spellings seen 5+ times. The 2000
# most frequent entries were reviewed a second time.
#
# Format: spelling<TAB>bengali   (one mapping per line; # starts a comment)
# A spelling may repeat to offer several forms, most-preferred first.
# Loaded after en_bn.tsv, so the hand-written loanword spellings win a tie.
# Hand edits here are welcome and outrank everything the generator produced.
na	না
ki	কি
ki	কী
to	তো
ami	আমি
er	এর
amr	আমার
kore	করে
ar	আর
tmr	তোমার
tmi	তুমি
ta	তা
nai	নাই
ei	এই
ase	আছে
je	যে
diye	দিয়ে
kotha	কথা
vai	ভাই
tai	তাই
valo	ভালো
ekta	একটা
sathe	সাথে
but	বাট
tui	তুই
amk	আমাকে
ok	ওকে
sob	সব
theke	থেকে
ek	এক
pore	পরে
naki	নাকি
abr	আবার
mone	মনে
ke	কে
te	তে
kisu	কিছু
age	আগে
oi	ওই
tmk	তোমাকে
amar	আমার
kora	করা
niye	নিয়ে
thik	ঠিক
hobe	হবে
tor	তোর
bole	বলে
amra	আমরা
kintu	কিন্তু
eto	এত
koro	করো
kono	কোনো
hoy	হয়
eita	এইটা
ja	যা
hoye	হয়ে
mane	মানে
hoi	হই
korte	করতে
accha	আচ্ছা
jai	যাই
moto	মতো
ektu	একটু
hoise	হইছে
koi	কই
hole	হলে
por	পরে
korbo	করবো
beshi	বেশি
taile	তাইলে
dekhe	দেখে
jonne	জন্যে
lage	লাগে
din	দিন
nei	নেই
dei	দেই
koto	কত
jani	জানি
bolo	বলো
tar	তার
onek	অনেক
kida	কিডা
aro	আরো
gese	গেছে
nah	না
dite	দিতে
ajke	আজকে
de	দে
meye	মেয়ে
dekha	দেখা
deu	দেও
ekhon	এখন
tumi	তুমি
boro	বড়
sobai	সবাই
kori	করি
nki	নাকি
ekhn	এখন
amio	আমিও
dekho	দেখো
jodi	যদি
tau	তাও
keu	কেউ
time	টাইম
re	রে
chole	চলে
ache	আছে
abar	আবার
rag	রাগ
msg	মেসেজ
sei	সেই
dile	দিলে
jay	যায়
call	কল
pare	পারে
shanta	শান্ত
ba	বা
debo	দেবো
sorry	সরি
moja	মজা
exam	এক্সাম
kone	কনে
dekhi	দেখি
college	কলেজ
amader	আমাদের
kase	কাছে
bhai	ভাই
nam	নাম
lagbe	লাগবে
jon	জন
love	লাভ
korle	করলে
hmm	হমম
good	গুড
vul	ভুল
kalke	কালকে
ken	কেন
vlo	ভালো
emon	এমন
khub	খুব
kon	কোন
thake	থাকে
video	ভিডিও
group	গ্রুপ
manush	মানুষ
trpr	তারপর
lagbi	লাগবি
biye	বিয়ে
chai	চাই
khali	খালি
tyle	তাইলে
kaj	কাজ
allah	আল্লাহ
korar	করার
tok	টক
gelo	গেলো
mara	মারা
bar	বার
moddhe	মধ্যে
eisob	এইসব
eta	এটা
jabe	যাবে
sundor	সুন্দর
beta	বেটা
registration	রেজিস্ট্রেশন
ashe	আসে
dewa	দেওয়া
story	স্টোরি
jonno	জন্য
sure	শিওর
kharap	খারাপ
somossa	সমস্যা
kew	কেউ
phone	ফোন
liye	লিয়ে
jabo	যাবো
clg	কলেজ
jaye	যায়
kar	কার
thakle	থাকলে
chele	ছেলে
kal	কাল
holo	হলো
dibe	দিবে
taka	টাকা
ber	বের
dibo	দিবো
ra	রা
karon	কারণ
same	সেম
amare	আমারে
asho	আসো
kichu	কিছু
mal	মাল
reel	রিল
jdi	যদি
jnne	জন্যে
bap	বাপ
oita	ওইটা
kobe	কবে
amak	আমাকে
bolte	বলতে
hocche	হচ্ছে
kosto	কষ্ট
phn	ফোন
akta	একটা
pari	পারি
onno	অন্য
dhore	ধরে
kivabe	কিভাবে
barit	বাড়ি
gele	গেলে
vaiya	ভাইয়া
kno	কেনো
sobar	সবার
just	জাস্ট
dekhte	দেখতে
sex	সেক্স
dik	দিক
se	সে
dibi	দিবি
choto	ছোট
sir	স্যার
shb	সব
tisha	তিশা
nijer	নিজের
ni	নি
are	আরে
then	থেন
paro	পারো
last	লাস্ট
toh	তো
korse	করছে
cholo	চলো
korbe	করবে
cilo	ছিলো
friend	ফ্রেন্ড
inbox	ইনবক্স
jara	যারা
kou	কও
pabna	পাবনা
tmke	তোমাকে
ora	ওরা
jinish	জিনিস
